iter	Passed	Remaining
0	0	985
1	1	663
2	1	552
3	1	494
4	2	454
5	2	435
6	3	426
7	3	415
8	3	405
9	4	396
10	4	392
11	4	388
12	5	384
13	5	381
14	5	377
15	6	372
16	6	370
17	6	368
18	7	366
19	7	365
20	7	363
21	8	362
22	8	359
23	8	358
24	9	359
25	9	357
26	9	355
27	10	354
28	10	352
29	10	352
30	11	351
31	11	350
32	12	368
33	12	365
34	13	366
35	13	365
36	13	363
37	14	362
38	14	360
39	14	358
40	15	358
41	15	356
42	15	355
43	16	353
44	16	352
45	16	350
46	17	351
47	17	349
48	17	348
49	18	347
50	18	346
51	18	345
52	19	343
53	19	342
54	19	341
55	20	340
56	20	339
57	20	338
58	21	337
59	21	336
60	21	336
61	22	336
62	22	336
63	22	335
64	23	335
65	23	335
66	24	335
67	24	335
68	24	336
69	25	336
70	25	336
71	25	334
72	26	334
73	26	332
74	26	332
75	27	332
76	27	332
77	28	331
78	28	331
79	28	331
80	29	330
81	29	330
82	29	327
83	29	326
84	30	326
85	30	325
86	30	325
87	31	324
88	31	323
89	31	322
90	32	321
91	32	321
92	32	320
93	33	319
94	33	319
95	33	318
96	34	318
97	34	317
98	34	316
99	35	315
100	35	315
101	35	315
102	36	314
103	36	314
104	36	313
105	37	313
106	37	312
107	37	312
108	38	311
109	38	311
110	38	310
111	39	311
112	39	312
113	40	312
114	40	311
115	40	311
116	41	310
117	41	309
118	45	337
119	66	491
120	78	572
121	80	576
122	80	573
123	80	571
124	81	568
125	81	565
126	81	562
127	82	559
128	82	556
129	82	554
130	83	552
131	83	549
132	84	552
133	87	562
134	87	560
135	88	559
136	88	557
137	88	555
138	89	552
139	89	550
140	89	547
141	90	544
142	90	541
143	90	539
144	91	536
145	91	534
146	91	532
147	92	529
148	92	527
149	92	525
150	92	522
151	93	520
152	93	518
153	93	516
154	94	514
155	94	511
156	94	509
157	95	508
158	95	505
159	95	503
160	96	501
161	96	499
162	96	497
163	97	495
164	97	493
165	97	492
166	98	490
167	98	488
168	98	486
169	99	484
170	99	482
171	99	480
172	100	479
173	100	477
174	100	475
175	101	473
176	101	472
177	101	470
178	102	468
179	102	467
180	102	465
181	103	463
182	103	461
183	103	460
184	104	458
185	104	457
186	104	455
187	105	454
188	105	452
189	105	451
190	106	449
191	106	448
192	106	446
193	107	445
194	107	443
195	107	442
196	108	440
197	108	439
198	108	438
199	109	437
200	109	435
201	109	434
202	110	432
203	110	431
204	110	430
205	111	428
206	111	427
207	111	426
208	112	425
209	112	424
210	113	422
211	113	421
212	113	420
213	114	419
214	114	417
215	114	416
216	115	415
217	115	413
218	115	412
219	116	412
220	116	411
221	116	410
222	117	409
223	117	407
224	118	406
225	118	406
226	118	405
227	119	404
228	119	402
229	119	401
230	120	400
231	120	399
232	121	398
233	121	397
234	121	396
235	121	394
236	122	393
237	122	392
238	122	391
239	123	390
240	123	389
241	123	388
242	124	387
243	124	386
244	125	385
245	125	384
246	125	383
247	126	382
248	126	381
249	126	380
250	127	379
251	127	378
252	127	377
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	131	367
263	131	366
264	131	365
265	132	364
266	132	363
267	132	362
268	133	362
269	133	361
270	133	360
271	134	359
272	134	358
273	135	358
274	135	357
275	136	356
276	136	355
277	136	355
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	140	350
286	140	349
287	140	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	344
293	143	343
294	143	342
295	143	342
296	144	341
297	144	340
298	145	340
299	145	339
300	145	338
301	146	337
302	146	337
303	146	336
304	147	335
305	147	334
306	147	333
307	148	333
308	148	332
309	149	331
310	149	330
311	149	330
312	150	329
313	150	328
314	150	327
315	151	327
316	151	326
317	151	325
318	152	325
319	152	324
320	153	323
321	153	323
322	153	322
323	154	323
324	155	322
325	155	321
326	155	320
327	156	320
328	156	319
329	156	318
330	157	317
331	157	316
332	157	315
333	157	314
334	158	314
335	158	313
336	159	312
337	159	312
338	159	311
339	160	310
340	160	310
341	160	309
342	161	308
343	161	308
344	161	307
345	162	306
346	162	305
347	162	305
348	163	304
349	163	303
350	163	302
351	163	301
352	164	300
353	164	300
354	164	299
355	165	298
356	165	297
357	165	297
358	165	296
359	166	295
360	166	294
361	166	293
362	167	293
363	167	292
364	167	291
365	168	291
366	168	290
367	168	289
368	168	288
369	169	287
370	169	287
371	169	286
372	169	285
373	170	284
374	170	284
375	170	283
376	171	282
377	171	282
378	171	281
379	172	280
380	172	280
381	172	279
382	172	278
383	173	277
384	173	277
385	173	276
386	174	275
387	174	275
388	174	274
389	175	273
390	175	273
391	175	272
392	176	272
393	176	271
394	177	271
395	177	270
396	178	270
397	178	270
398	179	269
399	179	269
400	179	268
401	180	268
402	180	267
403	181	267
404	181	266
405	181	265
406	182	265
407	182	264
408	182	264
409	183	263
410	183	263
411	183	262
412	184	261
413	184	261
414	184	260
415	185	260
416	185	259
417	186	259
418	186	258
419	187	258
420	187	257
421	187	257
422	188	256
423	188	256
424	188	255
425	189	255
426	189	254
427	189	253
428	190	253
429	190	252
430	191	252
431	191	251
432	191	251
433	192	250
434	192	250
435	192	249
436	193	249
437	193	248
438	194	248
439	194	247
440	194	247
441	195	246
442	195	245
443	195	245
444	196	244
445	196	244
446	196	243
447	197	243
448	197	242
449	198	242
450	198	241
451	198	241
452	199	240
453	199	240
454	199	239
455	200	238
456	200	238
457	200	237
458	201	237
459	201	236
460	202	236
461	202	236
462	203	235
463	203	235
464	203	234
465	204	234
466	204	233
467	204	232
468	205	232
469	205	231
470	206	231
471	206	230
472	206	230
473	207	229
474	207	229
475	207	228
476	208	228
477	208	227
478	209	227
479	209	226
480	209	226
481	210	225
482	210	225
483	211	225
484	211	224
485	212	224
486	212	224
487	213	223
488	213	223
489	214	222
490	215	223
491	215	222
492	216	222
493	216	221
494	217	221
495	217	221
496	218	220
497	218	220
498	218	219
499	219	219
500	219	218
501	219	218
502	220	217
503	220	217
504	220	216
505	221	216
506	221	215
507	222	215
508	222	214
509	222	214
510	223	213
511	223	213
512	224	212
513	224	212
514	224	211
515	225	211
516	225	210
517	226	210
518	226	210
519	227	209
520	227	209
521	228	208
522	228	208
523	228	207
524	229	207
525	229	206
526	229	206
527	230	205
528	230	205
529	230	204
530	231	204
531	231	203
532	232	203
533	232	202
534	232	202
535	233	201
536	233	201
537	233	200
538	234	200
539	234	199
540	234	199
541	235	198
542	235	198
543	235	197
544	235	196
545	236	196
546	236	195
547	236	195
548	237	194
549	237	194
550	237	193
551	238	193
552	238	192
553	238	192
554	239	191
555	239	191
556	239	190
557	240	190
558	240	189
559	241	189
560	241	188
561	241	188
562	242	187
563	242	187
564	242	186
565	243	186
566	243	185
567	243	185
568	243	184
569	244	184
570	244	183
571	244	183
572	245	182
573	245	182
574	246	181
575	246	181
576	246	180
577	247	180
578	247	179
579	247	179
580	248	179
581	249	178
582	249	178
583	249	178
584	250	177
585	251	177
586	251	177
587	252	176
588	252	176
589	252	175
590	253	175
591	253	174
592	253	174
593	254	173
594	254	173
595	254	172
596	255	172
597	255	171
598	255	171
599	256	170
600	256	170
601	256	169
602	257	169
603	257	168
604	257	168
605	258	167
606	258	167
607	258	166
608	259	166
609	259	165
610	259	165
611	260	164
612	260	164
613	260	164
614	261	163
615	261	163
616	261	162
617	262	162
618	262	161
619	262	161
620	263	160
621	263	160
622	263	159
623	264	159
624	264	158
625	264	158
626	265	157
627	265	157
628	265	156
629	266	156
630	266	155
631	267	155
632	267	155
633	267	154
634	268	154
635	268	153
636	268	153
637	269	152
638	269	152
639	270	151
640	270	151
641	270	151
642	271	150
643	271	150
644	271	149
645	272	149
646	272	148
647	272	148
648	273	147
649	273	147
650	273	146
651	274	146
652	274	145
653	274	145
654	275	144
655	275	144
656	275	144
657	276	143
658	276	143
659	276	142
660	277	142
661	277	141
662	277	141
663	278	140
664	278	140
665	278	139
666	279	139
667	279	138
668	279	138
669	280	137
670	280	137
671	280	137
672	281	136
673	281	136
674	281	135
675	282	135
676	282	134
677	282	134
678	283	133
679	283	133
680	283	132
681	284	132
682	284	132
683	284	131
684	285	131
